market_slug,market_id,asset_id,outcome_name,executed_at_timestamp,game_start_timestamp
mlb-min-mia-2025-07-01,557542,110339897584677945945517390332976711664715027456902054730151107183221710503943,Twins,1751412641563,
mlb-min-mia-2025-07-01,557542,50937528805944756194692828672967922522753376155582362334518913764340038251885,Marlins,1751412641563,
mlb-min-mia-2025-07-01,557542,110339897584677945945517390332976711664715027456902054730151107183221710503943,Twins,1751412751523,
mlb-min-mia-2025-07-01,557542,50937528805944756194692828672967922522753376155582362334518913764340038251885,Marlins,1751412751523,
mlb-min-mia-2025-07-01,557542,110339897584677945945517390332976711664715027456902054730151107183221710503943,Twins,1751412801194,
mlb-min-mia-2025-07-01,557542,50937528805944756194692828672967922522753376155582362334518913764340038251885,Marlins,1751412801194,
mlb-min-mia-2025-07-01,557542,110339897584677945945517390332976711664715027456902054730151107183221710503943,Twins,1751412821986,
mlb-min-mia-2025-07-01,557542,50937528805944756194692828672967922522753376155582362334518913764340038251885,Marlins,1751412821986,
mlb-min-mia-2025-07-01,557542,110339897584677945945517390332976711664715027456902054730151107183221710503943,Twins,1751412960244,
mlb-min-mia-2025-07-01,557542,50937528805944756194692828672967922522753376155582362334518913764340038251885,Marlins,1751412960244,
mlb-min-mia-2025-07-01,557542,110339897584677945945517390332976711664715027456902054730151107183221710503943,Twins,1751414549487,
mlb-min-mia-2025-07-01,557542,50937528805944756194692828672967922522753376155582362334518913764340038251885,Marlins,1751414549487,
mlb-min-mia-2025-07-01,557542,110339897584677945945517390332976711664715027456902054730151107183221710503943,Twins,1751418579332,
mlb-min-mia-2025-07-01,557542,50937528805944756194692828672967922522753376155582362334518913764340038251885,Marlins,1751418579332,
